01_H35_combined_small.mp4	6	9.05	40.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
02_H10_combined_small.mp4	6	7.17	18.2	25.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN
03_H16_combined_small.mp4	6	7.2	19.22	25.23	29.23	NaN	NaN	NaN	NaN	NaN	NaN
04_S9_combined_small.mp4	6	6.22	29.07	NaN	NaN	NaN	NaN	NaN	NaN	30.11	NaN
05_K4_combined_small.mp4	6	11.15	21.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06_H7_combined_small.mp4	6	7.08	15.2	22.21	25.12	31.22	35.23	NaN	NaN	NaN	NaN
07_K2_combined_small.mp4	6	6.1	19.01	26.21	NaN	NaN	NaN	NaN	NaN	18.23	NaN
08_S12_combined_small.mp4	6	8.24	24	32.03	44.19	NaN	NaN	NaN	NaN	NaN	NaN
09_S11_combined_small.mp4	6	6.13	16.13	26.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10_S27_combined_small.mp4	6	7.03	33.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11_K21_long_combined_small.mp4	6	38.1	22.08	42.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12_H37_combined_small.mp4	6	7.17	14.03	19.03	24.03	30.22	NaN	NaN	NaN	NaN	NaN
13_Trick6_short_combined_small.mp4	6	8.19	21.14	32.18	39.09	NaN	NaN	NaN	NaN	NaN	NaN
14_K19_long_combined_small.mp4	6	9.11	19.08	23.03	31.01	33.23	NaN	NaN	NaN	NaN	NaN
15_S18_combined_small.mp4	6	14.16	17.22	23.08	32.06	NaN	NaN	NaN	NaN	NaN	NaN
16_H19_combined_small.mp4	6	9.21	21.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17_Trick37_combined_small.mp4	6	11.18	24.2	47.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18_Trick4_combined_small.mp4	6	37.15	40.23	NaN	NaN	NaN	NaN	NaN	NaN	41.23	NaN
19_H17_combined_small.mp4	6	6.24	41.16	NaN	NaN	NaN	NaN	NaN	NaN	43.19	NaN
20_Trick20_short_combined_small.mp4	6	12.18	30.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22_K18_combined_small.mp4	6	12.2	17.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21_S15_combined_small.mp4	6	7.1	34.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23_K10_combined_small.mp4	6	7.22	9	11.1	14.05	16.11	17.05	NaN	NaN	NaN	NaN
24_Trick28_combined_small.mp4	6	16.06	17.06	25	31	36.03	40.15	45.06	NaN	NaN	NaN
25_S25_combined_small.mp4	6	29.07	35.13	48.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26_S30_combined_small.mp4	6	23.01	27.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27_S31_combined_small.mp4	6	18.01	19.23	NaN	NaN	NaN	NaN	NaN	NaN	20	NaN
28_K24_combined_small.mp4	6	8.15	23.09	NaN	NaN	NaN	NaN	NaN	NaN	24.22	NaN
29_H36_combined_small.mp4	6	8.09	29.03	NaN	NaN	NaN	NaN	NaN	NaN	27.22	NaN
30_H15_combined_small.mp4	6	7.15	15.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31_K3_combined_small.mp4	6	8.14	22.02	27.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32_K16_short_combined_small.mp4	6	7	36.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33_S21_combined_small.mp4	6	7.15	16.1	24.05	NaN	NaN	NaN	NaN	NaN	13.2	NaN
34_Trick38_combined_small.mp4	6	8.15	21	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35_Trick32_long_combined_small.mp4	6	10.24	15.22	18.17	24.24	31.19	33.11	42.15	47.12	NaN	NaN
36_Trick7_short_combined_small.mp4	6	9.03	22.04	24.17	NaN	NaN	NaN	NaN	NaN	NaN	25.07
